Gene,Disease,Evidence_strength,Inheritance,Allelic_requirement,Genetic_mechanism,TranscriptIDs,Notes
ACTC1,HCM,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000290378,
ACTN2,Intrinsic CM,Definitive,Autosomal dominant,Monoallelic autosomal,Decreased gene product level; Altered gene product sequence,ENST00000366578,
ALPK3,HCM,Strong,Autosomal dominant,Monoallelic autosomal,Decreased gene product level,ENST00000258888,
CACNA1C,Timothy syndrome,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000710581; ENST00000399603; ENST00000399655,"Transcript IDs include Ensembl canonical, MANE select, and MANE plus clinical"
CSRP3,HCM,Definitive,Semidominant,Monoallelic autosomal; Biallelic autosomal,Decreased gene product level; Altered gene product sequence,ENST00000265968,
DES,Desminopathy,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence; Absent gene product,ENST00000373960,
FHL1,Emery Dreifuss MD,Definitive,X-linked,Monoallelic X hemizygous,Decreased gene product level; Altered gene product sequence,ENST00000394155; ENST00000370683,"Transcript IDs include Ensembl canonical, and MANE select"
FHOD3,HCM,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000590592,
FLNC,Myofibrillar myopathy,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000325888,
GLA,Fabry Disease,Definitive,X-linked,Monoallelic X hemizygous,Decreased gene product level; Altered gene product sequence,ENST00000218516,
JPH2,HCM,Moderate,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000372980,
KLHL24,HCM,Moderate,Autosomal recessive,Biallelic autosomal,Decreased gene product level; Altered gene product sequence,ENST00000242810,
LAMP2,Danon Disease,Definitive,X-linked,Monoallelic X heterozygous,Decreased gene product level; Altered gene product sequence,ENST00000200639,
MT-TI,HCM,Moderate,Mitochondrial,Mitochondrial,Altered gene product sequence,ENST00000387365,
MYBPC3,HCM,Definitive,Autosomal dominant,Monoallelic autosomal,Decreased gene product level; Altered gene product sequence,ENST00000545968,
MYH7,HCM,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000355349,
MYL2,HCM,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000228841,
MYL3,HCM,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000292327,
PLN,Intrinsic CM,Definitive,Autosomal dominant,Monoallelic autosomal,Decreased gene product level; Altered gene product sequence,ENST00000357525,
PRKAG2,Cardiomyopathy,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000287878,
PTPN11,Noonan Syndrome,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000351677,
RAF1,Noonan Syndrome,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000251849,
RIT1,Noonan Syndrome,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000368323,
TNNC1,HCM,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000232975,
TNNI3,HCM,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000344887,
TNNT2,HCM,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000656932; ENST00000367318,"Transcript IDs include Ensembl canonical, and isoform with greatest expression in the left ventricle (GTEx)"
TPM1,HCM,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000403994,
TRIM63,HCM,Moderate,Autosomal recessive,Biallelic autosomal,Decreased gene product level; Altered gene product sequence,ENST00000374272,
TTR,Transthyretin amyloidosis,Definitive,Autosomal dominant,Monoallelic autosomal,Altered gene product sequence,ENST00000237014,
